IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.114.30,443,443,true,FRA,Europe,Frankfurt,270,3.02
35.246.180.179,443,443,true,FRA,Europe,Frankfurt,280,3.00
34.89.158.132,443,443,true,FRA,Europe,Frankfurt,284,2.99
34.91.166.255,443,443,true,FRA,Europe,Frankfurt,276,2.99
34.91.163.231,443,443,true,FRA,Europe,Frankfurt,267,2.99
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,260,2.99
34.91.58.126,443,443,true,FRA,Europe,Frankfurt,264,2.98
34.90.137.119,443,443,true,FRA,Europe,Frankfurt,268,2.97
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,283,2.94
34.154.180.236,443,443,true,FRA,Europe,Frankfurt,261,2.93
34.90.182.145,443,443,true,FRA,Europe,Frankfurt,272,2.92
34.154.158.199,443,443,true,FRA,Europe,Frankfurt,266,2.92
34.91.166.255,443,443,true,FRA,Europe,Frankfurt,271,2.90
34.90.137.119,443,443,true,FRA,Europe,Frankfurt,257,2.90
34.65.245.221,443,443,true,FRA,Europe,Frankfurt,262,2.88
34.154.80.143,443,443,true,FRA,Europe,Frankfurt,258,2.88
35.246.174.134,443,443,true,FRA,Europe,Frankfurt,266,2.87
35.198.95.39,443,443,true,FRA,Europe,Frankfurt,282,2.86
34.91.58.126,443,443,true,FRA,Europe,Frankfurt,268,2.84
35.242.219.225,443,443,true,FRA,Europe,Frankfurt,289,2.78
34.107.49.193,443,443,true,FRA,Europe,Frankfurt,330,2.76
34.90.255.182,443,443,true,FRA,Europe,Frankfurt,269,2.75
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,262,2.74
34.154.164.222,443,443,true,FRA,Europe,Frankfurt,269,2.72
35.242.207.37,443,443,true,FRA,Europe,Frankfurt,289,2.71
35.204.154.13,443,443,true,FRA,Europe,Frankfurt,289,2.70
34.154.250.168,443,443,true,FRA,Europe,Frankfurt,273,2.68
34.65.184.103,443,443,true,FRA,Europe,Frankfurt,264,2.68
34.141.201.20,443,443,true,FRA,Europe,Frankfurt,261,2.68
34.154.45.108,443,443,true,FRA,Europe,Frankfurt,262,2.67
34.154.171.181,443,443,true,FRA,Europe,Frankfurt,263,2.66
34.91.133.41,443,443,true,FRA,Europe,Frankfurt,276,2.65
34.154.109.254,443,443,true,FRA,Europe,Frankfurt,261,2.64
34.154.56.153,443,443,true,FRA,Europe,Frankfurt,251,2.62
34.91.83.51,443,443,true,FRA,Europe,Frankfurt,386,2.61
35.204.33.92,443,443,true,FRA,Europe,Frankfurt,271,2.60
34.154.118.156,443,443,true,FRA,Europe,Frankfurt,269,2.56
